datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-02-01,1580515200000,NV,0.0,0.0
2020-02-01,1580515200000,NH,0.0,0.0
2020-02-01,1580515200000,NJ,0.0,0.0
2020-02-01,1580515200000,NM,0.0,0.0
2020-02-01,1580515200000,NY,0.0,0.0
2020-02-01,1580515200000,NC,0.0,0.0
2020-02-01,1580515200000,ND,0.0,0.0
2020-02-01,1580515200000,OH,0.0,0.0
2020-02-01,1580515200000,OK,0.0,0.0
2020-02-01,1580515200000,OR,0.0,0.0
2020-02-01,1580515200000,PA,0.0,0.0
2020-02-01,1580515200000,RI,0.0,0.0
2020-02-01,1580515200000,SC,0.0,0.0
2020-02-01,1580515200000,SD,0.0,0.0
2020-02-01,1580515200000,TN,0.0,0.0
2020-02-01,1580515200000,TX,0.0,0.0
2020-02-01,1580515200000,UT,0.0,0.0
2020-02-01,1580515200000,VT,0.0,0.0
2020-02-01,1580515200000,VA,0.0,0.0
