STUSPS,COUNTYGEOID,Population,riskType,risk
GA,13073,124053,Total Kidney (hazard quotient),0.006130921977977
GA,13075,17212,Total Kidney (hazard quotient),0.002351782046776
GA,13077,127317,Total Kidney (hazard quotient),0.006029196506719
GA,13079,12630,Total Kidney (hazard quotient),0.002945292153706
GA,13081,23439,Total Kidney (hazard quotient),0.002693372054287
GA,13083,16633,Total Kidney (hazard quotient),0.00361342014513
GA,13085,22330,Total Kidney (hazard quotient),0.004046649256846
GA,13087,27842,Total Kidney (hazard quotient),0.001893816623274
GA,13089,691893,Total Kidney (hazard quotient),0.014204812723304
GA,13091,21796,Total Kidney (hazard quotient),0.002408976560501
GA,13093,14918,Total Kidney (hazard quotient),0.002416961264929
GA,13095,94565,Total Kidney (hazard quotient),0.004260868297197
GA,13097,132403,Total Kidney (hazard quotient),0.007014127341015
GA,13099,11008,Total Kidney (hazard quotient),0.002154923830362
GA,13101,4034,Total Kidney (hazard quotient),0.001476848723707
GA,13103,52250,Total Kidney (hazard quotient),0.003233490353462
GA,13105,20166,Total Kidney (hazard quotient),0.004073071767597
GA,13107,22598,Total Kidney (hazard quotient),0.00289531555441
GA,13109,11000,Total Kidney (hazard quotient),0.002351882753866
GA,13111,23682,Total Kidney (hazard quotient),0.002622479282387
